weblink,price,ad_date,ad_views,brand,model,year,params
https://kolesa.kz/a/show/155268029,5 600 000 ₸,2 июля,632,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '250 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155123432,5 600 000 ₸,29 июня,1124,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Павлодар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155513328,5 620 000 ₸,29 июня,182,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Караганда', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155260512,5 650 000 ₸,2 июля,992,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Павлодар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154100656,5 650 000 ₸,3 июля,23,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Алматы', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '3 533 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/152442932,5 650 000 ₸,2 июля,69,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '50 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155240867,5 690 000 ₸,2 июля,625,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Актобе', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '5 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155240816,5 690 000 ₸,2 июля,693,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Павлодар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155204451,5 690 000 ₸,1 июля,1265,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Усть-Каменогорск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154733721,5 690 000 ₸,27 июня,1371,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Костанай', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154496599,5 690 000 ₸,29 июня,3348,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Алматы', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154099243,5 690 000 ₸,27 июня,3260,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Шымкент', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/132166922,5 690 000 ₸,30 июня,14716,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Алматы', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155361144?fromUserSearch=1,5 690 000 ₸,26 июня,188,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155498398,5 690 000 ₸,29 июня,68,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Кызылорда', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/144477209?fromUserSearch=1,5 690 000 ₸,28 июня,3166,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154908089,5 700 000 ₸,1 июля,1328,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Павлодар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '15 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155433475,5 750 000 ₸,27 июня,310,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '25 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155602849,5 750 000 ₸,2 июля,164,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155353877,5 780 000 ₸,3 июля,401,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Кокшетау', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155243646,5 780 000 ₸,2 июля,789,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Павлодар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155513329,5 780 000 ₸,29 июня,82,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Караганда', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/133499999,5 790 000 ₸,3 июля,66979,Chevrolet,Nexia,2023,"{'Город': 'Караганда', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/141912986,5 790 000 ₸,29 июня,3134,Chevrolet,Nexia,2023,"{'Город': 'Тараз', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'синий', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/151957158,5 800 000 ₸,1 июля,846,Suzuki,Alto,2023,"{'Город': 'Алматы', 'Поколение': '2021 - н.в. 9 поколение', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '0.8 (бензин)', 'Пробег': '20 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155548535,5 800 000 ₸,30 июня,35,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Атбасар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '490 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155160828,5 850 000 ₸,2 июля,909,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Уральск', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '1 500 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154920371,5 890 000 ₸,30 июня,1245,Chevrolet,Spark,2023,"{'Город': 'Актау', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1.2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155634803,5 900 000 ₸,2 июля,91,Chevrolet,Spark,2023,"{'Город': 'Алматы', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1.4 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'вишня', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/144058668?fromUserSearch=1,5 990 000 ₸,29 июня,5287,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '15 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155527748,6 000 000 ₸,29 июня,217,Chevrolet,Nexia,2023,"{'Город': 'Караганда', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '12 500 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155567138,6 050 000 ₸,1 июля,169,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Петропавловск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155374096,6 100 000 ₸,26 июня,144,Chevrolet,Spark,2023,"{'Город': 'Алматы', 'Поколение': '2015 - н.в. M400', 'Кузов': 'хэтчбек', 'Объем двигателя, л': '1.4 (бензин)', 'Пробег': '11 000 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'вишня', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155479672,6 100 000 ₸,28 июня,57,ВАЗ (Lada),Granta 2191 (лифтбек),2023,"{'Город': 'Атбасар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'лифтбек', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '490 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155626847,6 100 000 ₸,2 июля,135,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Астана', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Пробег': '10 км', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'зеленый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155376600,6 150 000 ₸,1 июля,180,Chevrolet,Nexia,2023,"{'Город': 'Актобе', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '10 000 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/133500213,6 190 000 ₸,3 июля,112968,Chevrolet,Cobalt,2023,"{'Город': 'Караганда', 'Поколение': '2020 - н.в. 2 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/121692113,6 190 000 ₸,29 июня,1749,Chevrolet,Nexia,2023,"{'Город': 'Усть-Каменогорск', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155504879,6 200 000 ₸,2 июля,289,Chevrolet,Nexia,2023,"{'Город': 'Павлодар', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '10 600 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154783854,6 200 000 ₸,1 июля,759,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Петропавловск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'коричневый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155583995,6 200 000 ₸,1 июля,70,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Атбасар', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Пробег': '4 500 км', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155228503,6 260 000 ₸,2 июля,1211,ВАЗ (Lada),Granta 2190 (седан),2023,"{'Город': 'Астана', 'Поколение': '2018 - н.в. 1 поколение рестайлинг', 'Кузов': 'седан', 'Объем двигателя, л': '1.6 (бензин)', 'Коробка передач': 'механика', 'Привод': 'передний привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155598320,6 300 000 ₸,1 июля,64,Chevrolet,Nexia,2023,"{'Город': 'Актобе', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '1 100 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155460569,6 300 000 ₸,28 июня,122,Chevrolet,Nexia,2023,"{'Город': 'Караганда', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '10 000 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155531854,6 350 000 ₸,2 июля,238,Chevrolet,Nexia,2023,"{'Город': 'Павлодар', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '6 000 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155375719,6 350 000 ₸,26 июня,173,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Петропавловск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Пробег': '30 км', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'зеленый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155547924,6 370 000 ₸,2 июля,267,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Уральск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/136205033,6 380 000 ₸,1 июля,1782,Chevrolet,Nexia,2023,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '1 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154805171,6 390 000 ₸,28 июня,1775,Chevrolet,Nexia,2023,"{'Город': 'Тараз', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155515151,6 390 000 ₸,29 июня,193,Chevrolet,Nexia,2023,"{'Город': 'Шымкент', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '5 000 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155434979,6 400 000 ₸,28 июня,350,Chevrolet,Nexia,2023,"{'Город': 'Актобе', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '2 200 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/153997149,6 400 000 ₸,2 июля,40,Chevrolet,Nexia,2023,"{'Город': 'Павлодар', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '13 500 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'синий металлик', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/154891539,6 400 000 ₸,3 июля,504,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Уральск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155439201,6 400 000 ₸,1 июля,353,ВАЗ (Lada),2121 Нива,2023,"{'Город': 'Уральск', 'Поколение': '2009 - н.в. 1 поколение [2-й рестайлинг]', 'Кузов': 'внедорожник', 'Объем двигателя, л': '1.7 (бензин)', 'Пробег': '30 км', 'Коробка передач': 'механика', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'зеленый', 'Растаможен в Казахстане': 'Да'}"
https://kolesa.kz/a/show/155347078,6 450 000 ₸,3 июля,791,Chevrolet,Nexia,2023,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 1 поколение', 'Кузов': 'седан', 'Объем двигателя, л': '1.5 (бензин)', 'Пробег': '12 750 км', 'Коробка передач': 'автомат', 'Привод': 'передний привод', 'Руль': 'слева', 'Цвет': 'серебристый металлик', 'Растаможен в Казахстане': 'Да'}"
